X[mm]	Y[mm]	IBx[G.cm]	IBy[G.cm]	IBz[G.cm]
7.	-4.	-17.59340195	-83.82424341	5.821190837e-11
8.	-4.	-19.4625373	-78.8468297	4.10221918e-10
9.	-4.	-21.05431066	-73.38758227	-4.072505969e-10
10.	-4.	-22.33185493	-67.52705589	1.352858659e-10
-10.	-3.	16.45742277	-66.56846586	2.608682097e-10
-9.	-3.	15.52304997	-72.14340697	-5.011290081e-10
-8.	-3.	14.35846622	-77.34563769	-6.661367938e-11
-7.	-3.	12.98901867	-82.09883316	7.402462856e-11
-6.	-3.	11.4427391	-86.33743437	-1.733624239e-12
-5.	-3.	9.748549972	-90.00695395	5.779809946e-10
-4.	-3.	7.934874992	-93.06360971	-3.339208595e-10
-3.	-3.	6.028749011	-95.47352415	2.33510976e-10
-2.	-3.	4.055429973	-97.21173567	2.065592413e-11
-1.	-3.	2.038449233	-98.26122774	3.67459448e-11
0.	-3.	-3.192548984e-9	-98.61213491	2.845468438e-10
1.	-3.	-2.038449237	-98.26122774	8.005510529e-11
2.	-3.	-4.055429976	-97.2117357	3.963911088e-10
3.	-3.	-6.028749013	-95.47352417	-4.23891745e-10
4.	-3.	-7.934874992	-93.06360973	-1.85875587e-10
5.	-3.	-9.748549981	-90.00695398	5.661290918e-11
6.	-3.	-11.44273912	-86.33743435	5.28461549e-10
7.	-3.	-12.98901867	-82.09883312	-3.673027792e-10
8.	-3.	-14.35846622	-77.34563769	1.608807917e-10
9.	-3.	-15.52304996	-72.14340691	1.354613e-11
10.	-3.	-16.45742277	-66.56846587	-6.155113142e-13
-10.	-2.	10.83497428	-65.89784399	1.74809455e-10
-9.	-2.	10.22278316	-71.27348101	-5.961245045e-11
-8.	-2.	9.459699807	-76.29521106	-1.333187546e-10
-7.	-2.	8.561603891	-80.88979278	8.785955032e-11
-6.	-2.	7.546260022	-84.99320727	-1.867763925e-10
-5.	-2.	6.432218155	-88.55120835	-3.243608642e-10
-4.	-2.	5.237939881	-91.51931685	-1.445037696e-10
-3.	-2.	3.981213614	-93.86242398	-1.073517371e-12
-2.	-2.	2.678870149	-95.55418313	1.023176413e-10
-1.	-2.	1.346769043	-96.57635697	8.112713434e-11
0.	-2.	-2.353144168e-9	-96.91825484	3.027720968e-10
1.	-2.	-1.346769048	-96.57635699	-1.534673912e-10
2.	-2.	-2.678870157	-95.55418311	-2.09990251e-10
3.	-2.	-3.981213618	-93.86242397	4.868361119e-11
4.	-2.	-5.23793989	-91.51931687	2.465234833e-10
5.	-2.	-6.432218161	-88.55120837	3.014009164e-10
6.	-2.	-7.546260021	-84.99320727	1.845659563e-10
7.	-2.	-8.5616039	-80.88979279	-1.244113308e-10
8.	-2.	-9.459699818	-76.29521108	1.365598773e-10
9.	-2.	-10.22278316	-71.27348104	1.488680276e-10
10.	-2.	-10.83497429	-65.89784394	-3.09879082e-10
-10.	-1.	5.37691848	-65.50082858	-1.078606175e-10
-9.	-1.	5.073925399	-70.75872724	-1.126519128e-10
-8.	-1.	4.696256676	-75.67340031	2.002556952e-11
-7.	-1.	4.251561289	-80.17347541	1.834075453e-10
-6.	-1.	3.748455762	-84.19594365	3.844426943e-11
-5.	-1.	3.196001887	-87.68683403	2.891478234e-12
-4.	-1.	2.603285444	-90.60139808	-9.807863784e-12
-3.	-1.	1.97912743	-92.9039317	-1.449641422e-10
-2.	-1.	1.331935541	-94.56737928	-1.886151089e-10
-1.	-1.	0.6696844261	-95.57286142	1.235518635e-10
0.	-1.	-2.650264118e-9	-95.90924737	-2.604709676e-11
1.	-1.	-0.6696844326	-95.57286141	-6.167023202e-11
2.	-1.	-1.331935545	-94.56737926	-1.612804068e-10
3.	-1.	-1.979127436	-92.90393168	7.413951471e-11
4.	-1.	-2.603285448	-90.60139806	2.342582656e-10
